Marca;Nombre;;Precio Und;Precio XM,Genero,Precio_Optimizado
"ARIANA GRANDE;SWEET LIKE CANDY BY ARIANA GRANDE 100ML EDP ;; $33.403 ; $32.403 ","Unisex","1003340332990"
"Ariana Grande;TESTER ARIANA GRANDE MOD BLUSH EDP 100 ML ;NUEVO; $30.882 ; $29.882 ","Unisex","1003088229990"
"Ariana Grande;TESTER ARIANA GRANDE MOD VAINILLA 100ML EDP ;NUEVO; $30.882 ; $29.882 ","Unisex","1003088229990"
"Ariana Grande;TESTER ARIANA GRANDE SWEET LIKE CANDY MUJER 100 ML EDP ;; $24.160 ; $23.160 ","Mujer","1002416023990"
"ARIANA GRANDE;TESTER CLOUD ARIANA GRANDE 100ML EDP ;; $35.924 ; $34.924 ","Unisex","1003592434990"
"ARMAF;ARMAF CLUB DE NUIT ICONIC HOMBRE 105 ML EDP ;NUEVO; $35.756 ; $34.756 ","Hombre","1053575634990"
"Armaf;ARMAF CLUB DE NUIT INTENSE MAN 105ML EDT ;NUEVO; $26.681 ; $25.681 ","Unisex","1052668125990"
"ARMAF;ARMAF CLUB DE NUIT MUJER ROSADO 105ML EDP ;NUEVO; $24.160 ; $23.160 ","Mujer","1052416023990"
"Armaf;ARMAF CLUB DE NUIT OUD PARFUM 105 ML EDP ;; $42.655 ; $41.655 ","Unisex","1054265541990"
"ARMAF;ARMAF CLUB DE NUIT UNTOLD UNISEX 105 ML EDP ;; $36.345 ; $35.345 ","Unisex","1053634535990"
"ARMAF;ARMAF CLUB DE NUIT URBAN ELIXIR HOMBRE 105 ML EDP ;; $29.202 ; $28.202 ","Hombre","1052920228990"
"ARMAF;ARMAF CLUB DE NUIT WOMAN 200ML EDP ;; $35.919 ; $34.919 ","Unisex","2003591934990"
"ARMAF;ARMAF ISLAND BLISS DELIGHTS EDP 100 ML ;NUEVO; $34.580 ; $33.580 ","Unisex","1003458033990"
"Armaf;ARMAF MISS VOCE VIVA MUJER 100 ML EDP ;; $22.487 ; $21.487 ","Mujer","1002248721990"
"ARMAF;ARMAF ODISSEY CANDEE 100ML SPECIAL EDITION ;; $16.597 ; $15.597 ","Unisex","1001659715990"
"ARMAF;ARMAF ODYSSEY DUBAI CHOCOLAT GOURMAND 100ML ;; $28.370 ; $27.370 ","Unisex","1002837027990"
"Armaf;ARMAF ODYSSEY HOMME 100 ML EDP HOMBRE ;; $25.168 ; $24.168 ","Hombre","1002516824990"
"ARMAF;ARMAF ODYSSEY HOMME NEGRO 200ML EDP ;; $32.227 ; $31.227 ","Unisex","2003222731990"
"ARMAF;ARMAF ODYSSEY LIMONI FRESH 100ML EDP ;; $18.277 ; $17.277 ","Unisex","1001827717990"
"Armaf;ARMAF ODYSSEY MANDARIN SKY 200ML ;NUEVO; $39.286 ; $38.286 ","Unisex","2003928638990"
"ARMAF;ARMAF ODYSSEY MANDARIN SKY FOR MEN 100 ML EDP ;NUEVO; $27.521 ; $26.521 ","Hombre","1002752126990"
"Armaf;ARMAF ODYSSEY TYRANT SPECIAL 100 ML EDP ;; $24.160 ; $23.160 ","Unisex","1002416023990"
"ARMAF;ARMAF ODYSSEY WHITE EDITION EDP 100 ML HOMBRE ;; $24.160 ; $23.160 ","Hombre","1002416023990"
"ARMAF;ARMAF VENTANA POUR HOMME 100ML EDP ;; $19.958 ; $18.958 ","Hombre","1001995818990"
"Armaf;ARMAF YUM YUM EDP 100 ML ;NUEVO; $30.882 ; $29.882 ","Unisex","1003088229990"
"Armaf;DESODORANTE ARMAF CLUB DE NUIT INTENSE MAN 200ML ;; $6.597 ; $5.597 ","Unisex","20065975990"
"Armaf;DESODORANTE ARMAF ODYSSEY CANDEE 200ML ;; $6.597 ; $5.597 ","Unisex","20065975990"
"ARMAF;DESODORANTE ARMAF ODYSSEY HOMME WHITE 200ML ;; $6.261 ; $5.261 ","Unisex","20062615990"
"ARMAF;DESODORANTE ARMAF ODYSSEY LIMONI 200ML ;; $6.261 ; $5.261 ","Unisex","20062615990"
"Armaf;DESODORANTE ARMAF ODYSSEY MANDARIN SKY 200ML ;; $6.765 ; $5.765 ","Unisex","20067655990"
"ARMAF;DESODORANTE ARMAF ODYSSEY MEGA LIMITED 200ML ;; $6.261 ; $5.261 ","Unisex","20062615990"
"ARMAF;DESODORANTE ARMAF ODYSSEY TYRANT SPECIAL 200ML ;; $6.933 ; $5.933 ","Unisex","20069335990"
"ASDAAF;ASAAF ATLANTIS PARFUM UNISEX 100ML EDP ;; $13.235 ; $12.235 ","Unisex","1001323512990"
"ASDAAF;ASDAAF AMEER AL ARAB BLACK 100ML EDP ;; $14.076 ; $13.076 ","Unisex","1001407613990"
"Asdaaf;ASDAAF AMEERAT AL ARAB PRIVE ROSE 100 ML EDP ;; $13.992 ; $12.992 ","Unisex","1001399213990"
"AZZARO;AZZARO THE MOST WANTED EDT INTENSE 100ML ;; $46.008 ; $45.008 ","Unisex","1004600845990"
"Azzaro;AZZARO THE MOST WANTED EDT INTENSE 50ML ;; $59.118 ; $58.118 ","Unisex","505911858990"
"AZZARO;AZZARO THE MOST WANTED HOMBRE EAU DE PARFUM INTENSE 100ML EDP ;; $52.731 ; $51.731 ","Hombre","1005273151990"
"Azzaro;AZZARO THE MOST WANTED PARFUM HOMBRE 100ML EDP ;; $61.975 ; $60.975 ","Hombre","1006197560990"
"AZZARO;AZZARO WANTED BY NIGHT HOMBRE 100 ML EDP ;; $51.050 ; $50.050 ","Hombre","1005105050990"
"Azzaro;AZZARO WANTED EDP 100ML EDP ;; $38.782 ; $37.782 ","Unisex","1003878237990"
"Azzaro;AZZARO WANTED PARFUM HOMBRE 50 ML EDP ;; $32.983 ; $31.983 ","Hombre","503298331990"
"AZZARO;SET AZZARO WANTED 100 ML  +  75 ML  +  10 ML EDT ;NUEVO; $59.622 ; $58.622 ","Unisex","10075105962258990"
"Benetton;BENETTON COLORES MAN GREEN 200 ML EDT ;; $17.866 ; $16.866 ","Unisex","2001786616990"
"Biotherm;BIOTHERM EAU D'ENERGIE WOMAN 100 ML EDT ;; $16.605 ; $15.605 ","Unisex","1001660515990"
"BRITNEY SPEARS;BRITNEY SPEARS BLISSFUL MUJER 100 ML EDT ;; $18.286 ; $17.286 ","Mujer","1001828617990"
"BRITNEY SPEARS;BRITNEY SPEARS CURIOUS MUJER 100 ML EDP ;; $15.765 ; $14.765 ","Mujer","1001576514990"
"BRITNEY SPEARS;BRITNEY SPEARS FANTASY 100ML EDT ;NUEVO; $20.462 ; $19.462 ","Unisex","1002046219990"
"Britney Spears;BRITNEY SPEARS NAKED FANTASY MUJER 100ML EDT ;; $17.445 ; $16.445 ","Mujer","1001744516990"
"BURBERRY;BURBERRY BRIT FOR HER 50 ML EDT ;; $36.008 ; $35.008 ","Unisex","503600835990"
"BURBERRY;BURBERRY GODDESS PARFUM 50ML EDP MUJER ;; $62.815 ; $61.815 ","Mujer","506281561990"
"BURBERRY;BURBERRY GODDNESS EAU DE PARFUM INTENSE 100 ML ;; $71.218 ; $70.218 ","Unisex","1007121870990"
"BURBERRY;BURBERRY HERO EDT 50 ML ;; $37.613 ; $36.613 ","Unisex","503761336990"
"BURBERRY;BURBERRY HERO HOMBRE 100 ML EDT ;; $51.059 ; $50.059 ","Hombre","1005105950990"
"BURBERRY;BURBERRY HERO HOMBRE EDP 50 ML ;; $37.613 ; $36.613 ","Hombre","503761336990"
"BURBERRY;BURBERRY HERO PARFUM 50ML HOMBRE ;; $50.218 ; $49.218 ","Hombre","505021849990"
"BURBERRY;BURBERRY MR BURBERRY INDIGO 50 ML EDT ;; $27.529 ; $26.529 ","Unisex","502752926990"
"BURBERRY;BURBERRY TOUCH FOR MAN 50 ML EDT ;; $19.966 ; $18.966 ","Unisex","501996618990"
"BURBERRY;BURBERY HERO PARFUM 200ML REFILL ;; $70.387 ; $69.387 ","Unisex","2007038769990"
"CACHAREL;CACHAREL AMOR AMOR 100ML EDT ;NUEVO; $29.202 ; $28.202 ","Unisex","1002920228990"
"Cacharel;CACHAREL AMOR AMOR PARFUM MUJER EDP 100ML ;; $33.403 ; $32.403 ","Mujer","1003340332990"
"CACHAREL;CACHAREL ELLA ELLA 100 ML PARFUM MUJER EDP ;; $54.420 ; $53.420 ","Mujer","1005442053990"
"Cacharel;CACHAREL NOA 100ML EDT ;NUEVO; $29.202 ; $28.202 ","Unisex","1002920228990"
"CACHAREL;CACHAREL YES I AM BLOOM UP EDP 30ML MUJER ;NUEVO; $19.958 ; $18.958 ","Mujer","301995818990"
"CACHAREL;SET CACHAREL YES I AM BLOOM UP 50 ML + 10 ML EDP ;; $33.403 ; $32.403 ","Unisex","50103340332990"
"CALVIN KLEIN;CALVIN KLEIN CK BE UNISEX CAJA NEGRA 50ML EDT ;; $14.076 ; $13.076 ","Unisex","501407613990"
"CALVIN KLEIN;CALVIN KLEIN CK EVERYONE 50ML EDT ;; $30.714 ; $29.714 ","Unisex","503071429990"
"Calvin Klein;CALVIN KLEIN CK EVERYONE UNISEX 20O ML EDT ;; $30.714 ; $29.714 ","Unisex","203071429990"
"Calvin Klein;CALVIN KLEIN CK EVETYONE 100ML EDT ;; $30.714 ; $29.714 ","Unisex","1003071429990"
"CALVIN KLEIN;CALVIN KLEIN CK FREE HOMBRE 100ML EDT ;; $22.395 ; $21.395 ","Hombre","1002239521990"
"CALVIN KLEIN;CALVIN KLEIN CK FREE HOMBRE 50 ML EDT ;; $14.084 ; $13.084 ","Hombre","501408413990"
"CALVIN KLEIN;CALVIN KLEIN CK IN2U MUJER 100ML ;NUEVO; $18.866 ; $17.866 ","Mujer","21001886617990"
"CALVIN KLEIN;CALVIN KLEIN CK ONE 200ML ;; $27.017 ; $26.017 ","Unisex","2002701726990"
"CALVIN KLEIN;CALVIN KLEIN CK ONE SHOCK FOR HER 100ML EDT ;NUEVO; $19.874 ; $18.874 ","Unisex","1001987418990"
"CALVIN KLEIN;CALVIN KLEIN CK ONE SHOCK FOR HIM 100ML EDT ;NUEVO; $21.218 ; $20.218 ","Unisex","1002121820990"
"CALVIN KLEIN;CALVIN KLEIN CK ONE SHOCK FOR HIM 200ML EDT ;NUEVO; $24.580 ; $23.580 ","Unisex","2002458023990"
"CALVIN KLEIN;CALVIN KLEIN CKIN2 50 ML HOMBRE EDT ;; $16.513 ; $15.513 ","Hombre","2501651315990"
"CALVIN KLEIN;CALVIN KLEIN CKIN2U EDT 100 ML HOMBRE ;; $19.118 ; $18.118 ","Hombre","21001911818990"
"CALVIN KLEIN;CALVIN KLEIN CKIN2U EDT 150 ML MUJER ;; $21.639 ; $20.639 ","Mujer","21502163920990"
"Calvin Klein;CALVIN KLEIN CKIN2U HOMBRE EDT 150ML ;NUEVO; $21.387 ; $20.387 ","Hombre","21502138720990"
"CALVIN KLEIN;CALVIN KLEIN CKIN2U WOMAN 50 ML EDT ;; $15.168 ; $14.168 ","Unisex","2501516814990"
